Reference,Value,Footprint,Qty,,Tên,Mã,Qty,Link,
BZ1,Buzzer,Buzzer_Beeper:Buzzer_12x9.5RM7.6,1,,Buzzer, CLA2022,4,http://linhkienchatluong.vn/buzzer---coi-chip---coi-bao/coi-chip-5v-12095-12x95mm_sp798_ct4243.aspx,
C1,680u,Capacitor_SMD:CP_Elec_10x10.5,1,,,CLA4229,4,http://linhkienchatluong.vn/tu-nhom---tu-hoa-dan/tu-nhom-16v-680uf-10x102mm_sp455_ct6123.aspx,
C2,220u,Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder,1,,,CLA1292,3,http://linhkienchatluong.vn/tu-tantalium/tu-tantalum-7343-227c-16v-220uf-73x43mm_sp460_ct1166.aspx,
"C3, C19, C22",10U,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,,,CLA4020,2,http://linhkienchatluong.vn/tu-dan-0805/tu-dan-0805-106-10uf-16v-10-10c_sp1293_ct14702.aspx,
C4,47U,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,,,,,
"C5, C6, C16, C17",20pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,,,CLA1308,2,http://linhkienchatluong.vn/tu-dan-0805/tu-dan-0805-20pf-50v-5-10c_sp1293_ct14648.aspx,
"C7-C15, C18, C23-C27",100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,15,,,CLA3544,4,http://linhkienchatluong.vn/tu-dan-0805/tu-dan-0805-104-100nf-50v-10-fenghua-10c_sp1293_ct14676.aspx,
"C20, C21",0.1U,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,2,,là t? 100n,,,,
"D1, D2",1N5822,Diode_SMD:D_SMA_Handsoldering,2,,,CLA1496,4,http://linhkienchatluong.vn/diode-schottky/1n5822-ss34-sma-diode-schottky-3a-40v-chinh-hang-mic-10c_sp571_ct1263.aspx,
D3,5VL,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,,Led 0805 m?i màu 1 dây,1,,
D4-D12,3VL,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9,,,,,,
"Driver1, Driver2",Driver,JST254:JST 4,2,,??i 2.54 5p ??c chân th?ng, CLA1881,2,http://linhkienchatluong.vn/header-xh254-trang/header-duc-5p-xh254-5p-chan-thang-10c_sp861_ct1714.aspx,
I2C3,I2C3,JST254:JST 4,1,,??i 2.54 6p ??c chân th?ng, CLA1882,2,http://linhkienchatluong.vn/header-xh254-trang/header-duc-6p-xh254-6p-chan-thang-10c_sp861_ct1715.aspx,
J1,Conn_01x02_Socket,Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,1,,??i terminal,,1,,
J2,STLINK,JST254:JST 4,1,,,CLA1880,3,http://linhkienchatluong.vn/header-xh254-trang/header-duc-4p-xh254-4p-chan-thang-10c_sp861_ct1713.aspx,
J3,FL,JST254:JST 5,1,,,CLA1870,3,http://linhkienchatluong.vn/header-xh254-trang/header-cai-4p-xh254-4p-trang-10c_sp861_ct8185.aspx,
J4,FF,JST254:JST 5,1,,có s?n,,,,
J5,FR,JST254:JST 5,1,,có s?n,,,,
J6,ADKEYBOARD,JST254:JST 3,1,,có s?n,,,,
J7,BL,JST254:JST 5,1,,có s?n,,,,
J8,BR,JST254:JST 5,1,,có s?n,,,,
J9,MPU,JST254:JST 4,1,,có s?n,,,,
J10,LEFT_MOTOR,JST254:JST 6,1,,có s?n,,,,
J11,RIGHT_MOTOR,JST254:JST 6,1,,??i 2.54 2p ??c,CLA1878,2,http://linhkienchatluong.vn/header-xh254-trang/header-duc-2p-xh254-2p-chan-thang-10c_sp861_ct1711.aspx,
J12,Conn_01x02_Socket,JST254:JST 2,1,,??i 2.54 2p cái,CLA1868,2,http://linhkienchatluong.vn/header-xh254-trang/header-cai-2p-xh254-2p-trang-10c_sp861_ct8183.aspx,
L1,33uH,Inductor_SMD:L_12x12mm_H6mm,1,,,CLA2645,3,http://linhkienchatluong.vn/cuon-cam-dan-cd127-12x12x7mm/cuon-cam-dan-33uh-cdrh127-330-12x12x7mm_sp842_ct3492.aspx,
L2,10uH,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,, CL05705,2,http://linhkienchatluong.vn/cuon-cam-dan-060308051206/cuon-cam-dan-0805-10uh-10c_sp1059_ct8898.aspx,
Q1,S8550,Package_TO_SOT_SMD:SOT-23,1,,,CL00852,5,http://linhkienchatluong.vn/transistor/s8550-2ty-pnp-transistor-05a-25v-sot-23-loai-thuong_sp787_ct716.aspx,
R1,330,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,,CLA3292,1,http://linhkienchatluong.vn/dien-tro-dan-0805-18w/dien-tro-dan-0805-330r-1-50c_sp837_ct5331.aspx,
R2,100,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,,,CL05753,1,http://linhkienchatluong.vn/dien-tro-dan-0805-18w/dien-tro-dan-0805-100r-1-50c_sp837_ct8453.aspx,
"R3, R4",10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,,CLA3322,1,http://linhkienchatluong.vn/dien-tro-dan-0805-18w/dien-tro-dan-0805-10k-1-50c_sp837_ct5370.aspx,
"R5, R6",4.7K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,,CLA3314,1,http://linhkienchatluong.vn/dien-tro-dan-0805-18w/dien-tro-dan-0805-47k-1-50c_sp837_ct5362.aspx,
R7-R12,1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6,,,CLA3303,1,http://linhkienchatluong.vn/dien-tro-dan-0805-18w/dien-tro-dan-0805-1k-1-50c_sp837_ct5346.aspx,
"RN1, RN2",R_Pack04,Resistor_SMD:R_Array_Convex_4x0603,2,,,CLA0906,5,http://linhkienchatluong.vn/dien-tro-bang-dan-smd/dien-tro-bang-0603x4-100r-8p4r-10c_sp1275_ct13127.aspx,
SW1-SW6,SW_Push,Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,6,,, CLA1750,2,http://linhkienchatluong.vn/nut-nhan-sieu-nho/nut-nhan-2-chan-dan-3x6x25mm-loai-tot-dong-day-10c_sp849_ct1800.aspx,
U1,STM32F407VGTx,Package_QFP:LQFP-100_14x14mm_P0.5mm,1,,có s?n,,,,
U2,LM2596S-5,Package_TO_SOT_SMD:TO-263-5_TabPin3,1,,có s?n,,,,
U3,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,,,CL00249,4,http://linhkienchatluong.vn/ho-ams--1117/ams1117-33v-ic-on-ap-33v-1a-sot-223-chinh-hang-ams_sp1008_ct371.aspx,
U4,TB6612FNG,TB6612FNG_C_8_EL:SOP65P760X160-24N,1,,có s?n,,,,
UART6,UART6,JST254:JST 4,1,,có s?n,,,,
Y1,25MHz,Crystal:Crystal_HC49-U_Vertical,1,,,CLA1586,3,http://linhkienchatluong.vn/thach-anh-chan-cam-hc-49s/thach-anh-25mhz-hc-49s_sp610_ct1082.aspx,
Y2,32.768KHz,Crystal:Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm,1,,,CLA1621,2,http://linhkienchatluong.vn/cac-loai-thach-anh-khac/thach-anh-32768khz-mc306-8x32mm-smd_sp615_ct1169.aspx,
